epoch,train_loss,test_acc,test_auc
1,0.6136814162249455,0.84865,0.92245465
2,0.5049430600669987,0.8609,0.934312845
3,0.43956186780539314,0.87165,0.9429122499999999
4,0.3956072515691333,0.8798,0.9490988250000001
5,0.36350057977239797,0.88555,0.9539347700000002
6,0.3387637007266969,0.89235,0.9576704150000002
7,0.3190160937931227,0.89565,0.9606770200000002
8,0.3027366946649064,0.8999,0.9631316950000001
9,0.28914674045637134,0.90315,0.9652206750000002
10,0.2775667420662273,0.9063,0.9669369199999999
